WORD,AREA_PRIMARY,SUBAREA_PRIMARY,CONCEPT_TYPE,DESCRIPTION_GENERAL,DESCRIPTION_SOCIAL_SCIENCES,DESCRIPTION_DATA_SCIENCE,CROSS_AREA_RELATION,DATA_OPERATIONALIZATION,EXAMPLES,RELATED_TERMS,REFERENCES_SOURCE
Padrões,Interdisciplinar,Análise de Dados,Analítico,"Regularidades ou estruturas recorrentes observáveis em dados ou fenômenos.","Interpretados à luz de contextos sociais, históricos e institucionais.","Detectados por algoritmos de mineração de dados, clustering e análise exploratória.","Integram análise quantitativa e interpretação qualitativa para compreensão de fenômenos complexos.","Frequências; clusters; correlações; séries temporais.","Padrões espaciais de criminalidade; tendências sociais.","Tendência; Estrutura; Correlação","EDA literature"
Descritor,Ciência da Informação,Indexação,Analítico,"Termo ou rótulo utilizado para classificar, organizar ou representar conteúdo informacional.","Auxilia na categorização de conceitos e documentos em sistemas de informação.","Utilizado como feature, label ou tag em modelos de dados e sistemas de classificação.","Facilita organização semântica e recuperação da informação em bases de dados.","Tags; categorias; ontologias; taxonomias.","Classificação temática de documentos jurídicos.","Label; Taxonomia; Ontologia","Thesaurus standards"
Impunidade,Ciências Sociais,Sociologia / Ciência Política,Teórico,"Impunidade refere-se à ausência de responsabilização ou punição efetiva por atos ilegais ou ilegítimos, especialmente quando praticados de forma recorrente ou sistemática.","Nas Ciências Sociais, a impunidade é analisada como um fenômeno estrutural ligado à fragilidade institucional, desigualdade social, seletividade penal e relações de poder, afetando a legitimidade do Estado e a confiança social.","Na Ciência de Dados, a impunidade não é observada diretamente, mas inferida por meio de indicadores, padrões e proxies extraídos de bases criminais, judiciais ou administrativas, sendo tratada como uma variável latente.","A Ciência de Dados fornece métodos para operacionalizar empiricamente um conceito teórico das Ciências Sociais, permitindo identificar padrões de impunidade e testar hipóteses sociopolíticas em larga escala.",Taxa de crimes sem condenação; proporção de inquéritos arquivados; tempo médio entre crime e sentença; diferença entre registros policiais e condenações judiciais.,Análise da relação entre impunidade e aumento da criminalidade; modelos preditivos de desfechos judiciais; estudos sobre seletividade do sistema penal.,Accountability; Sistema de Justiça; Seletividade Penal; Estado de Direito,ONU (UNODC); Garland (2001); literatura sobre sistema penal e justiça criminal
Banco de dados,Ciência de Dados,Sistemas de Informação,Técnico,"Sistema organizado para armazenamento, gerenciamento e recuperação eficiente de dados.","Instrumento fundamental para organização de grandes volumes de dados sociais, permitindo análises estruturadas de fenômenos complexos.","Implementado por SGBDs relacionais ou não relacionais, com suporte a consultas, transações e integridade dos dados.","Viabiliza a tradução de fenômenos sociais em estruturas persistentes e consultáveis, permitindo análises empíricas robustas.","Tabelas; índices; queries SQL; normalização; transações.","Banco de dados de ocorrências criminais ou dados censitários.","Base de dados; Dataset; SGBD","Elmasri & Navathe; Date"
Framework,Ciência da Computação,Engenharia de Software,Técnico,"Conjunto estruturado de ferramentas, bibliotecas e padrões que facilitam o desenvolvimento de sistemas.","Permite operacionalizar análises sociais complexas por meio de infraestruturas tecnológicas padronizadas.","Utilizado para acelerar desenvolvimento de aplicações de dados, APIs e modelos de machine learning.","Conecta teoria social à implementação computacional ao fornecer meios padronizados de análise e processamento.","APIs; bibliotecas; arquitetura; padrões de projeto.","Frameworks para análise de dados sociais e desenvolvimento de APIs.","Biblioteca; Plataforma; Arquitetura","Gamma et al.; Engineering literature"
Base de dados,Ciência de Dados,Gestão de Dados,Dados / Informacional,"Coleção organizada de dados estruturados ou não estruturados utilizada para análise e processamento.","Fonte essencial para estudos empíricos em Ciências Sociais, permitindo análise de fenômenos em larga escala.","Estruturada em formatos tabulares ou distribuídos, servindo como entrada para análises e modelos.","Permite a operacionalização de conceitos sociais em variáveis mensuráveis e analisáveis.","Tabelas; registros; atributos; ETL.","Base de dados de políticas públicas ou segurança.","Dataset; Banco de dados; Fonte de dados","Data management literature"
Dado espacial,Geografia / Ciência de Dados,Geoprocessamento,Estatístico,"Dado associado a uma localização geográfica específica, representando fenômenos no espaço.","Permite analisar desigualdades territoriais, distribuição de recursos e padrões espaciais sociais.","Processado por técnicas de geoprocessamento e estatística espacial, incluindo GIS e modelos espaciais.","Integra dimensão espacial à análise social, permitindo compreender como o espaço influencia fenômenos sociais.","Coordenadas; shapefiles; mapas; autocorrelação espacial.","Mapeamento de criminalidade por região.","Geolocalização; GIS; Espaço","Anselin; GIS literature"
Dado longitudinal,Estatística,Análise Longitudinal,Estatístico,"Dados coletados ao longo do tempo para as mesmas unidades de análise.","Permitem estudar dinâmicas sociais, trajetórias individuais e mudanças estruturais.","Modelados por técnicas como modelos de efeitos fixos, aleatórios e séries temporais.","Capturam a evolução temporal de fenômenos sociais, conectando eventos e mudanças ao longo do tempo.","Painel de dados; séries temporais; coorte.","Evolução da renda ou reincidência criminal ao longo do tempo.","Séries temporais; Painel; Coorte","Wooldridge; Longitudinal analysis"
Dado qualitativo,Ciências Sociais,Metodologia Qualitativa,Metodológico,"Dados não numéricos que capturam significados, percepções e experiências.","Fundamentais para compreender dimensões subjetivas e contextuais dos fenômenos sociais.","Processados via técnicas de PLN, codificação temática e análise de texto.","Permitem integrar interpretação qualitativa com análise computacional em larga escala.","Texto; entrevistas; documentos; codificação.","Entrevistas ou discursos políticos.","Discurso; Narrativa; Texto","Denzin & Lincoln"
Dado quantitativo,Ciência de Dados,Estatística,Estatístico,"Dados numéricos que permitem mensuração e análise estatística de fenômenos.","Base para análise empírica em Ciências Sociais, permitindo generalização e inferência.","Utilizados em modelos estatísticos, machine learning e análises descritivas.","Permitem testar hipóteses sociais por meio de evidência numérica e inferência estatística.","Variáveis numéricas; distribuições; regressões.","Taxas de criminalidade ou indicadores econômicos.","Variável; Estatística; Medida","Wooldridge; Statistics literature"
Dados dinâmicos,Ciência de Dados,Engenharia de Dados,Técnico,"Dados que são atualizados continuamente ao longo do tempo, refletindo mudanças em tempo real ou quase real.","Permitem analisar fenômenos sociais em constante transformação, como mobilidade urbana ou interações digitais.","Processados por pipelines de streaming e sistemas de processamento em tempo real.","Capturam a dinâmica temporal de fenômenos sociais, permitindo análises mais responsivas e preditivas.","Streams; APIs; logs; processamento em tempo real.","Monitoramento de redes sociais ou tráfego urbano.","Streaming; Tempo real; Big Data","Kreps; Streaming data literature"
Fonte de dados,Ciência da Informação,Curadoria de Dados,Analítico,"Origem dos dados utilizados em análises, incluindo instituições, sistemas ou processos de coleta.","Define o contexto, qualidade e confiabilidade dos dados sociais utilizados em pesquisas.","Classificada e documentada para garantir rastreabilidade e confiabilidade em pipelines de dados.","Permite avaliar validade e viés dos dados ao conectar sua origem ao processo analítico.","Origem institucional; coleta; documentação.","Dados do IBGE ou registros policiais.","Metadado; Base de dados; Coleta","FAIR principles; Data governance"
Desaparecimento,Ciências Sociais,Criminologia / Sociologia,Teórico,"Evento em que uma pessoa deixa de ser localizada, gerando incerteza sobre sua condição ou paradeiro.","Analisado como fenômeno social associado a violência, vulnerabilidade e falhas institucionais.","Representado como evento em bases de dados criminais e analisado por modelos estatísticos e espaciais.","Permite investigar padrões sociais e institucionais relacionados à ausência de indivíduos em registros sociais.","Registro de ocorrência; tempo; localização; status.","Casos de pessoas desaparecidas em bases policiais.","Crime; Violência; BO","Literatura criminológica; SSP"
Homicídio clearance / sentencing,Ciências Sociais,Criminologia / Sistema de Justiça,Jurídico-estatístico,"Indicadores que medem a resolução de homicídios (clearance) e as decisões judiciais associadas (sentencing).","Utilizados para avaliar eficiência do sistema penal, seletividade e desigualdades na aplicação da justiça.","Modelados como taxas e variáveis categóricas ou temporais em bases criminais e judiciais.","Permitem conectar análise institucional com evidências empíricas sobre investigação e punição.","Taxa de elucidação; tempo até sentença; tipo de pena.","Comparação de clearance entre regiões ou análise de sentenças.","Impunidade; Sistema penal; Justiça","Criminology literature; UNODC"
Dados estatísticos,Ciência de Dados,Estatística Descritiva,Estatístico,"Dados organizados e analisados por métodos estatísticos para descrever e inferir padrões.","Fundamentais para análise de fenômenos sociais, permitindo identificação de tendências e desigualdades.","Processados por técnicas de estatística descritiva e inferencial.","Permitem transformar observações sociais em evidência quantitativa interpretável.","Médias; variâncias; distribuições; amostras.","Estatísticas de criminalidade ou renda.","Estatística; Variável; Amostra","Statistics literature"
Índices (Gini etc.),Economia / Ciência de Dados,Mensuração de Desigualdade,Estatístico,"Indicadores sintéticos que resumem fenômenos complexos em um único valor, como desigualdade ou desenvolvimento.","Amplamente utilizados para medir desigualdade social, concentração de renda e bem-estar.","Calculados a partir de distribuições de dados, permitindo comparações entre grupos e períodos.","Traduzem conceitos abstratos das Ciências Sociais em medidas quantitativas comparáveis.","Coeficiente de Gini; Índice de Theil; IDH.","Análise de desigualdade de renda.","Indicador; Métrica; Distribuição","Sen; World Bank"
Modelo estatístico,Ciência de Dados,Modelagem Estatística,Estatístico,"Representação matemática de relações entre variáveis com base em dados observados.","Utilizado para testar teorias sociais e explicar relações entre fenômenos.","Implementado por regressões, modelos probabilísticos e inferência estatística.","Conecta teoria social a evidência empírica por meio de formalização matemática.","Regressão linear; logística; modelos probabilísticos.","Modelo de regressão para prever criminalidade.","Hipótese; Variável; Inferência","Wooldridge; Gelman"
Offset,Ciência de Dados,Modelos Lineares Generalizados,Estatístico,"Termo fixo incluído em modelos estatísticos para ajustar diferenças de exposição ou escala.","Permite corrigir análises de fenômenos sociais com diferentes níveis de exposição, como população.","Implementado em modelos como regressão de Poisson para ajustar taxas.","Garante comparabilidade entre unidades ao normalizar efeitos estruturais.","Log(população); exposição temporal.","Taxa de crimes por 100 mil habitantes.","Exposição; Taxa; Normalização","McCullagh & Nelder"
Resíduo do modelo,Ciência de Dados,Diagnóstico de Modelos,Estatístico,"Diferença entre valores observados e valores estimados por um modelo.","Utilizado para avaliar qualidade do ajuste e identificar padrões não explicados.","Analisado para verificar suposições do modelo e detectar outliers.","Permite avaliar se modelos capturam adequadamente fenômenos sociais.","Erro observado; distribuição dos resíduos.","Diagnóstico de modelo de regressão.","Erro; Ajuste; Outlier","Kutner et al."
Significância,Ciência de Dados,Inferência Estatística,Estatístico,"Medida que indica a probabilidade de um resultado ocorrer ao acaso sob uma hipótese nula.","Utilizada para validar relações entre variáveis em estudos sociais.","Calculada por testes estatísticos como p-valor e intervalos de confiança.","Permite distinguir padrões reais de variações aleatórias em dados sociais.","p-valor; nível de confiança; teste t.","Teste de relação entre renda e crime.","Hipótese; Inferência; Teste","Fisher; Neyman-Pearson"
Variável explicativa,Ciência de Dados,Modelagem Estatística,Estatístico,"Variável independente utilizada para explicar variação em outra variável.","Representa fatores causais ou associados em teorias sociais.","Utilizada como entrada em modelos estatísticos para explicar fenômenos.","Conecta teoria (causas) a dados observáveis em análises empíricas.","Variável independente; regressão.","Educação explicando renda.","Variável dependente; Preditor; Causa","Wooldridge"
Variável preditora,Ciência de Dados,Machine Learning,Estatístico,"Variável utilizada para prever valores de uma variável alvo em modelos preditivos.","Pode ou não ter interpretação causal, focando em capacidade de previsão.","Utilizada como feature em modelos de machine learning.","Permite transformar dados em previsões úteis para análise social aplicada.","Features; input de modelo.","Previsão de reincidência criminal.","Feature; Target; Modelo","Hastie et al."
Cluster,Ciência de Dados,Aprendizado Não Supervisionado,Computacional,"Agrupamento de objetos ou observações com base em similaridade.","Permite identificar grupos sociais ou padrões latentes em dados.","Implementado por algoritmos como k-means, DBSCAN e hierárquico.","Revela estruturas ocultas em fenômenos sociais sem necessidade de rótulos prévios.","Distância; similaridade; centroides.","Agrupamento de regiões com padrões criminais similares.","Clustering; Segmentação; Similaridade","Jain; Kaufman & Rousseeuw"
Homicídio doloso,Ciências Sociais,Direito Penal / Criminologia,Jurídico,"Crime caracterizado pela intenção de matar, conforme tipificação legal.","Analisado como indicador central de violência letal, refletindo dinâmicas sociais, desigualdades e políticas de segurança.","Representado como variável categórica em bases criminais, utilizado em análises estatísticas e espaciais.","Permite mensurar empiricamente a violência intencional e avaliar políticas públicas de segurança.","Tipo penal; localização; data; vítima; autor.","Mapeamento de homicídios em áreas urbanas.","Crime; Violência; BO","Código Penal Brasileiro; UNODC"
Inquérito (relação com BO),Direito,Processo Penal,Jurídico-administrativo,"Procedimento investigativo que se inicia a partir de um Boletim de Ocorrência (BO) ou outro registro formal.","Representa a transição do registro inicial do crime para a investigação formal, refletindo decisões institucionais.","Modelado como etapa sequencial em dados processuais, conectando registros iniciais a desfechos judiciais.","Permite analisar fluxos do sistema de justiça e taxas de conversão entre registro e investigação.","Chave relacional BO→Inquérito; status; tempo de instauração.","Proporção de BOs que se tornam inquéritos.","BO; Processo; Denúncia","Código de Processo Penal"
Instauração,Direito,Processo Penal,Jurídico-administrativo,"Ato formal de iniciar um procedimento investigativo ou processo judicial.","Reflete decisões institucionais sobre priorização e reconhecimento de fatos como passíveis de investigação.","Representada como evento binário ou temporal em bases de dados do sistema de justiça.","Permite analisar seletividade institucional e eficiência no início de investigações.","Data de instauração; indicador binário.","Tempo entre ocorrência e abertura de inquérito.","Inquérito; Processo; BO","Direito processual penal"
Grafo,Ciência da Computação,Teoria dos Grafos,Computacional,"Estrutura matemática composta por nós e arestas que representa relações entre entidades.","Utilizado para modelar redes sociais, relações institucionais e interações sociais.","Base para algoritmos de análise de redes, centralidade e detecção de comunidades.","Permite representar e analisar estruturas relacionais em fenômenos sociais complexos.","Nós; arestas; matriz de adjacência.","Rede de relações entre indivíduos em investigações.","Rede; Conectividade; Nó","Newman; Graph theory literature"
Análise forense,Ciências Sociais / Computação,Criminalística,Metodológico,"Aplicação de métodos científicos para investigação e análise de evidências relacionadas a crimes.","Inclui análise de evidências físicas, digitais e contextuais em investigações criminais.","Utiliza técnicas de análise de dados, mineração e reconstrução de eventos.","Integra métodos científicos e computacionais para reconstruir e interpretar eventos sociais criminalizados.","Logs; evidências digitais; reconstrução temporal.","Análise de dados de celulares em investigações.","Criminalística; Evidência; Investigação","Forensic science literature"
Discurso de ódio,Ciências Sociais,Sociologia / Comunicação,Teórico,"Forma de discurso que promove discriminação, hostilidade ou violência contra grupos.","Analisado como expressão de relações de poder, preconceito e exclusão social.","Detectado por modelos de PLN e classificação de texto.","Permite quantificar e monitorar manifestações de intolerância em ambientes digitais.","Classificação de texto; datasets rotulados; embeddings.","Detecção de hate speech em redes sociais.","Discurso; Preconceito; Violência simbólica","Davidson et al.; NLP hate speech"
Heterogeneidade,Interdisciplinar,Estatística / Sociologia,Analítico,"Presença de variação ou diversidade entre unidades de análise.","Reflete desigualdades e diferenças estruturais em contextos sociais.","Modelada por variância, efeitos aleatórios e segmentação de dados.","Permite identificar diferenças relevantes entre grupos e contextos sociais.","Variância; clusters; efeitos aleatórios.","Diferenças regionais de criminalidade.","Diversidade; Variabilidade; Desigualdade","Gelman; Statistics literature"
Homogeneidade,Interdisciplinar,Estatística / Sociologia,Analítico,"Semelhança ou uniformidade entre unidades de análise.","Indica padrões consistentes ou ausência de variação significativa em contextos sociais.","Assumida em diversos modelos estatísticos como condição de validade.","Permite simplificar modelos e interpretar padrões estáveis em dados.","Baixa variância; consistência; uniformidade.","Regiões com taxas de crime similares.","Uniformidade; Consistência; Estabilidade","Statistics literature"
Redes complexas,Ciência da Computação,Análise de Redes,Computacional,"Estruturas de grafos com propriedades não triviais, como alta conectividade e padrões emergentes.","Utilizadas para analisar sistemas sociais complexos, como redes de interação, crime ou informação.","Modeladas por métricas de centralidade, modularidade e distribuição de grau.","Permitem compreender estruturas emergentes e dinâmicas em sistemas sociais.","Centralidade; grau; modularidade; comunidades.","Redes de organizações criminosas.","Grafos; Redes; Sistemas complexos","Barabási; Newman"
